key,description
API_CONTRACTS.APP_PIS_INSTRUMENT,APP_PIS_INSTRUMENT Reference key to instrument
API_CONTRACTS.APP_CONTRACT_DT,APP_CONTRACT_DT The date on which contract was booked
API_CONTRACTS.APP_AMT_FINANCED,APP_AMT_FINANCED Total amount financed
API_CONTRACTS.APP_CR_LMT,APP_CR_LMT Credit limit(Original)
API_CONTRACTS.APP_TERM,APP_TERM Term of the contract(Original)
API_CONTRACTS.APP_DRAW_TERM,APP_DRAW_TERM Number of term draw period is allowed
API_CONTRACTS.APP_REPMT_TERM,APP_REPMT_TERM The repayment term of the contract
API_CONTRACTS.APP_RATE,APP_RATE The contract rate
API_CONTRACTS.APP_INDEX_TYPE_CD,APP_INDEX_TYPE_CD Reference key to lookup index type such as prime  etc
API_CONTRACTS.APP_INDEX_RATE,APP_INDEX_RATE Index rate(Original)
API_CONTRACTS.APP_MRATE,APP_MRATE The margin rate(Original)
API_CONTRACTS.APP_BALLOON_AMT,APP_BALLOON_AMT Contract balloon payment amount
API_CONTRACTS.APP_FIRST_PMT_DT,APP_FIRST_PMT_DT The date on which first payment should be received
API_CONTRACTS.APP_MATURITY_DT,APP_MATURITY_DT The date on which the account would mature(Original)
API_CONTRACTS.APP_FINANCE_CHARGE,APP_FINANCE_CHARGE The finance charge or total estimated interest charge on the contract
API_CONTRACTS.APP_TOTAL_OF_PMTS,APP_TOTAL_OF_PMTS Total of all payments or total note amount
API_CONTRACTS.APP_TOTAL_DOWN_PMT_AMT,APP_TOTAL_DOWN_PMT_AMT Total down payment amount of contract
API_CONTRACTS.APP_TOTAL_SALE_PRC,APP_TOTAL_SALE_PRC Total sale price of the asset on contract
API_CONTRACTS.APP_PMT_AMT,APP_PMT_AMT Payment amount(Original)
API_CONTRACTS.APP_APR,APP_APR Annual percentage rate
API_CONTRACTS.APP_PRM_CODE,APP_PRM_CODE Reference Key to Promotion Coe
API_CONTRACTS.APP_MATURITY_INDEX_TYPE_CD,APP_MATURITY_INDEX_TYPE_CD Reference key to lookup index type such as prime  etc
API_CONTRACTS.APP_MATURITY_MRATE,APP_MATURITY_MRATE The maturity margin rate
API_CONTRACTS.APP_PCB_BRANCH_CSS,APP_PCB_BRANCH_CSS Reference key to portfolio branch(Servicing)
